0032_v81_physical_imports: PASS (3 table declarations, 2 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=bad349d195355ced6316e300a03281ab3cc6a9bf8c985ab5546b25a8abad1c79)
0033_v81_physical_source_format: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=0e61e6e9cc27caf88c47182c2940466ac90508228f0c9e4a02de37e10c9c4259)
0034_v81_confirmed_rosters: PASS (1 table declarations, 0 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=c7b508294af2194e66fc66b4d2b1fe08afdadd5cac399c57e595a1083c9981b5)
0035_v81_roster_source_format: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=8224462b5b0794d641a51913423449114a23ef31058121fff3b1b61de151585d)
0036_v81_ocr_sources: PASS (2 table declarations, 2 foreign keys, 0 unique indexes, 0 checks, 1 total indexes, sha256=5ee403aa67d1fd7f054867970b938428a6dfc04ada60c3b7d8af3b85eb19a02f)
0037_v81_ocr_jobs: PASS (1 table declarations, 2 foreign keys, 1 unique indexes, 0 checks, 2 total indexes, sha256=4c3d8e3f52e0cb08ee4ebb28e2873e41ed3feff6845df2aa825b96f9ccf88f51)
0038_v81_ocr_drafts: PASS (1 table declarations, 0 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=a98144737c9fba4c59b7debf018121934de4f63ac67949ada33acb145ffaac2b)
0039_v81_ocr_physical_confirmations: PASS (1 table declarations, 2 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=43c5a7cdda652a08db0016ac77622941abf3e0940d32169f57729790dc690574)
0040_v81_unified_roster_basis: PASS (1 table declarations, 1 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=e7d8504ecf1783c6026dc39b9bf30e2f8a8fdb498d85e1d5e3c2a8637d5ae2b6)
0041_v81_makeup_windows: PASS (3 table declarations, 0 foreign keys, 0 unique indexes, 0 checks, 1 total indexes, sha256=f32de0982ee64f89dca6a145f396bbc5e5e3b13a9183a9a053f6fa3baaae86e6)
0042_v81_rule_templates: PASS (1 table declarations, 0 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=eda7feb70f54ebbdf0fb58ea00a5ad147783e126058a10ea79ab6ef1196cebb8)
0043_v81_course_reminder_dedup: PASS (0 table declarations, 0 foreign keys, 1 unique indexes, 0 checks, 1 total indexes, sha256=e1d8784e724c07c2e495e75638141ca1d4efe1f971dd8ec01e8ce9ec113ec772)
0044_v81_runtime_archives: PASS (2 table declarations, 2 foreign keys, 0 unique indexes, 0 checks, 1 total indexes, sha256=38269392dff282563af680485f7241c9d6340249d93a0cbadcad7c4d90da1bfd)
0045_v81_runtime_archive_cleanup: PASS (1 table declarations, 0 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=e8a36da93cc131a7deed880a82a19c6baa577bf9bb79281b1301c8fd98ac3504)
0046_v81_history_subjects: PASS (1 table declarations, 1 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=bef72026a1dcfcc7f98ca657a96b7d44264664f3ee6ba36de27b44c6267bd34f)
0047_v81_history_references: PASS (0 table declarations, 66 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=3fc46b985973adf8a6368e703e70695dd7ef3ba7feb1fad2d1489027ccc3ce37)
0048_v81_account_deletion_challenges: PASS (1 table declarations, 1 foreign keys, 1 unique indexes, 0 checks, 2 total indexes, sha256=e5559f528ddf9a7f0c721cfe98b417be323e0dc092c8ad928b72ee1f17a7fb2e)
0049_v81_session_history_subjects: PASS (0 table declarations, 13 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=030d81f760c847792cf2c4553b6cca622af507978292e1c689a4dfa38fa7af33)
0050_v81_event_actor_snapshot: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=04a087a6f87d6aa78414250a1e37657f2562397a7db39fe3d421179356a1f3cd)
0051_v81_system_event_provenance: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 2 checks, 0 total indexes, sha256=ee97ca48860a6affdf7850610990b75875a3aea57dab48b6b3891cdd4ebc04f8)
0052_v81_ocr_service_governance: PASS (2 table declarations, 2 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=f59b2fbc95280a007095928bb025dc31b4eb9f65410bcf322d548a860bc1597e)
0053_v81_subadmin_identity: PASS (1 table declarations, 1 foreign keys, 0 unique indexes, 0 checks, 1 total indexes, sha256=53d597f9af53418012556c46294dc33402ce5c211d2257b043e03c3a3fa2b9a7)
0054_v81_subadmin_ephemeral_cleanup: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 0 checks, 0 total indexes, sha256=e84e7822d2165e638aad2d16299a8c3eb4f82f080e2008229b8bdff48d6604fc)
0055_v81_invite_revocation: PASS (0 table declarations, 0 foreign keys, 0 unique indexes, 1 checks, 0 total indexes, sha256=bec4a3aa12113dbfbb99cd3b8c602488b240d24ce66ee0cbc164c1160391f2db)
0056_v81_settlement_reports: PASS (1 table declarations, 0 foreign keys, 0 unique indexes, 2 checks, 0 total indexes, sha256=0702a3cb58b7e8d08e4fd906c8aac9dc84c1796c3b70bb2def82fb7f4e468c86)
Migration safety: PASS (56 registered migrations; static checks do not replace database execution)
